"Year","Cruise","Season","Line","Station","SpeciesName","presence","effort"
2005,"CC0504","Spring",83,42,"Blue whale",3,4
2005,"CC0507","Summer",83,42,"Blue whale",2,3
2007,"CC0711","Fall",83,42,"Blue whale",2,2
2008,"CC0810","Fall",83,39,"Humpback whale",1,2
2009,"CC0903","Spring",83,41,"Humpback whale",1,3
2004,"CC0411","Fall",80,60,"Fin whale",4,4
2004,"CC0411","Fall",80,60,"Blue whale",3,4
2005,"CC0511","Fall",80,60,"Blue whale",2,4
2005,"CC0511","Fall",80,60,"Fin whale",1,4
2007,"CC0711","Fall",80,60,"Blue whale",1,3
2007,"CC0711","Fall",80,60,"Fin whale",3,3
2008,"CC0810","Fall",80,60,"Blue whale",2,2
2008,"CC0810","Fall",80,60,"Fin whale",1,2
2012,"CC1203","Spring",80,60,"Humpback whale",3,3
2012,"CC1203","Spring",80,60,"Fin whale",2,3
2004,"CC0404","Spring",80,80,"Humpback whale",2,3
2005,"CC0501","Winter",80,80,"Humpback whale",3,3
2005,"CC0501","Winter",80,80,"Fin whale",1,3
2005,"CC0501","Winter",80,80,"Blue whale",1,3
2006,"CC0604","Spring",80,80,"Humpback whale",3,4
2007,"CC0704","Spring",80,80,"Blue whale",1,4
2007,"CC0704","Spring",80,80,"Humpback whale",3,4
2008,"CC0808","Summer",80,80,"Blue whale",2,3
2008,"CC0808","Summer",80,80,"Fin whale",3,3
2010,"CC1008","Summer",80,80,"Fin whale",3,3
2012,"CC1202","Winter",80,80,"Fin whale",4,6
2012,"CC1202","Winter",80,80,"Humpback whale",4,6
2012,"CC1203","Spring",80,80,"Humpback whale",3,3
2012,"CC1203","Spring",80,80,"Fin whale",2,3
2012,"CC1207","Summer",80,80,"Fin whale",3,6
2012,"CC1207","Summer",80,80,"Blue whale",1,6
2004,"CC0411","Fall",80,90,"Blue whale",2,5
2004,"CC0411","Fall",80,90,"Fin whale",4,5
2005,"CC0504","Spring",80,90,"Blue whale",2,4
2005,"CC0504","Spring",80,90,"Humpback whale",2,4
2007,"CC0707","Summer",80,90,"Fin whale",1,3
2007,"CC0707","Summer",80,90,"Blue whale",2,3
2007,"CC0711","Fall",80,90,"Blue whale",3,3
2007,"CC0711","Fall",80,90,"Fin whale",3,3
2008,"CC0801","Winter",80,90,"Humpback whale",3,3
2008,"CC0808","Summer",80,90,"Blue whale",3,4
2008,"CC0808","Summer",80,90,"Fin whale",1,4
2009,"CC0907","Summer",80,90,"Humpback whale",1,2
2010,"CC1008","Summer",80,90,"Fin whale",1,4
2011,"CC1101","Winter",80,90,"Humpback whale",5,6
2011,"CC1101","Winter",80,90,"Fin whale",3,6
2011,"CC1104","Spring",80,90,"Humpback whale",3,3
2012,"CC1202","Winter",80,90,"Humpback whale",4,4
2012,"CC1203","Spring",80,90,"Blue whale",3,3
2012,"CC1203","Spring",80,90,"Humpback whale",3,3
2012,"CC1207","Summer",80,90,"Blue whale",1,4
2004,"CC0407","Summer",80,55,"Blue whale",3,3
2005,"CC0504","Spring",80,55,"Blue whale",1,4
2005,"CC0504","Spring",80,55,"Humpback whale",4,4
2005,"CC0504","Spring",80,55,"Fin whale",1,4
2006,"CC0607","Summer",80,55,"Blue whale",3,3
2006,"CC0607","Summer",80,55,"Humpback whale",1,3
2007,"CC0707","Summer",80,55,"Fin whale",3,4
2007,"CC0707","Summer",80,55,"Blue whale",1,4
2007,"CC0711","Fall",80,55,"Blue whale",2,3
2007,"CC0711","Fall",80,55,"Fin whale",3,3
2008,"CC0801","Winter",80,55,"Humpback whale",2,4
2008,"CC0801","Winter",80,55,"Fin whale",1,4
2010,"CC1008","Summer",80,55,"Blue whale",3,5
2010,"CC1008","Summer",80,55,"Fin whale",3,5
2010,"CC1008","Summer",80,55,"Humpback whale",1,5
2012,"CC1203","Spring",80,55,"Humpback whale",2,3
2012,"CC1207","Summer",80,55,"Blue whale",1,4
2004,"CC0411","Fall",80,70,"Fin whale",3,4
2004,"CC0411","Fall",80,70,"Blue whale",2,4
2005,"CC0501","Winter",80,70,"Fin whale",3,3
2005,"CC0501","Winter",80,70,"Humpback whale",3,3
2005,"CC0504","Spring",80,70,"Humpback whale",1,4
2005,"CC0511","Fall",80,70,"Blue whale",1,2
2005,"CC0511","Fall",80,70,"Fin whale",1,2
2006,"CC0602","Winter",80,70,"Humpback whale",1,3
2006,"CC0604","Spring",80,70,"Humpback whale",3,5
2008,"CC0810","Fall",80,70,"Blue whale",1,2
2008,"CC0810","Fall",80,70,"Fin whale",1,2
2009,"CC0901","Winter",80,70,"Humpback whale",3,3
2009,"CC0901","Winter",80,70,"Fin whale",1,3
2009,"CC0907","Summer",80,70,"Humpback whale",1,2
2010,"CC1001","Winter",80,70,"Fin whale",3,5
2010,"CC1001","Winter",80,70,"Humpback whale",5,5
2010,"CC1011","Fall",80,70,"Fin whale",2,5
2011,"CC1108","Summer",80,70,"Fin whale",2,5
2011,"CC1110","Fall",80,70,"Fin whale",4,5
2011,"CC1110","Fall",80,70,"Humpback whale",3,5
2012,"CC1210","Fall",80,70,"Humpback whale",2,4
2004,"CC0411","Fall",80,51,"Humpback whale",1,3
2006,"CC0604","Spring",80,51,"Humpback whale",1,3
2007,"CC0704","Spring",80,51,"Humpback whale",1,3
2008,"CC0808","Summer",80,51,"Blue whale",2,2
2009,"CC0901","Winter",80,51,"Humpback whale",2,5
2010,"CC1008","Summer",80,51,"Fin whale",1,6
2010,"CC1008","Summer",80,51,"Blue whale",2,6
2012,"CC1203","Spring",80,51,"Fin whale",2,3
2004,"CC0411","Fall",80,100,"Fin whale",2,4
2005,"CC0507","Summer",80,100,"Fin whale",1,3
2005,"CC0507","Summer",80,100,"Blue whale",1,3
2005,"CC0511","Fall",80,100,"Fin whale",1,4
2006,"CC0602","Winter",80,100,"Fin whale",2,4
2006,"CC0602","Winter",80,100,"Humpback whale",1,4
2008,"CC0810","Fall",80,100,"Blue whale",1,4
2008,"CC0810","Fall",80,100,"Fin whale",1,4
2009,"CC0907","Summer",80,100,"Humpback whale",1,2
2010,"CC1001","Winter",80,100,"Fin whale",4,4
2010,"CC1001","Winter",80,100,"Humpback whale",4,4
2011,"CC1104","Spring",80,100,"Humpback whale",3,4
2011,"CC1108","Summer",80,100,"Fin whale",1,4
2011,"CC1110","Fall",80,100,"Humpback whale",3,3
2012,"CC1210","Fall",80,100,"Blue whale",1,3
2012,"CC1210","Fall",80,100,"Humpback whale",3,3
2007,"CC0701","Winter",93,60,"Fin whale",3,3
2007,"CC0701","Winter",93,60,"Humpback whale",3,3
2007,"CC0711","Fall",93,60,"Blue whale",1,3
2010,"CC1001","Winter",93,60,"Humpback whale",2,3
2010,"CC1001","Winter",93,60,"Fin whale",2,3
2004,"CC0404","Spring",93,80,"Fin whale",1,5
2005,"CC0501","Winter",93,80,"Humpback whale",3,3
2005,"CC0507","Summer",93,80,"Blue whale",3,3
2005,"CC0507","Summer",93,80,"Fin whale",1,3
2005,"CC0511","Fall",93,80,"Blue whale",3,3
2006,"CC0604","Spring",93,80,"Humpback whale",4,4
