Order Occ,Line,Sta,Station_key,Lat (dec),Lat (deg),Lat (min),Lat (deg min),Lon (dec),Lon (deg),Lon (min),Lon (deg min),Est Depth,Sta Type
57,83.3,39.4,83.3_39.4,34.26509,34,15.9,34 15.91,-119.32781,119,19.7,119 19.67,20,SCCOOS
58,81.7,43.5,81.7_43.5,34.40555,34,24.3,34 24.33,-119.80037,119,48,119 48.02,20,SCCOOS
59,81.8,46.9,81.8_46.9,34.2749,34,16.5,34 16.49,-120.02524,120,1.5,120 1.51,578,ROS
60,80,50.5,80_50.5,34.46667,34,28,34 28.00,-120.48906,120,29.3,120 29.34,20,SCCOOS
61,80,51,80_51,34.45,34,27,34 27.00,-120.5239,120,31.4,120 31.43,73,ROS
62,80,55,80_55,34.31667,34,19,34 19.00,-120.80245,120,48.1,120 48.15,780,ROS
63,80,60,80_60,34.15,34,9,34 9.00,-121.15,121,9,121 9.00,2204,ROS
64,80,70,80_70,33.81667,33,49,33 49.00,-121.84304,121,50.6,121 50.58,3631,ROS
65,80,80,80_80,33.48333,33,29,33 29.00,-122.53335,122,32,122 32.00,4007,ROS
66,80,90,80_90,33.15,33,9,33 9.00,-123.22099,123,13.3,123 13.26,4229,ROS
67,80,100,80_100,32.81667,32,49,32 49.00,-123.90599,123,54.4,123 54.36,4348,ROS
68,76.7,100,76.7_100,33.38824,33,23.3,33 23.29,-124.32289,124,19.4,124 19.37,4551,ROS
69,76.7,90,76.7_90,33.72158,33,43.3,33 43.29,-123.63335,123,38,123 38.00,4201,ROS
70,76.7,80,76.7_80,34.05491,34,3.3,34 3.29,-122.94109,122,56.5,122 56.47,4235,ROS
71,76.7,70,76.7_70,34.38824,34,23.3,34 23.29,-122.24608,122,14.8,122 14.76,4017,ROS
72,76.7,60,76.7_60,34.72158,34,43.3,34 43.29,-121.54828,121,32.9,121 32.90,930,ROS
73,76.7,55,76.7_55,34.88824,34,53.3,34 53.29,-121.19831,121,11.9,121 11.90,562,ROS
74,76.7,51,76.7_51,35.02158,35,1.3,35 1.29,-120.91782,120,55.1,120 55.07,240,ROS
75,76.7,49,76.7_49,35.08824,35,5.3,35 5.29,-120.7774,120,46.6,120 46.64,69,ROS
76,73.3,50,73.3_50,35.64381,35,38.6,35 38.63,-121.25575,121,15.3,121 15.35,30,ROS
77,73.3,55,73.3_55,35.47714,35,28.6,35 28.63,-121.60901,121,36.5,121 36.54,1003,ROS
78,73.3,60,73.3_60,35.31047,35,18.6,35 18.63,-121.96154,121,57.7,121 57.69,2380,ROS
79,73.3,70,73.3_70,34.97714,34,58.6,34 58.63,-122.6644,122,39.9,122 39.86,4072,ROS
80,73.3,80,73.3_80,34.64381,34,38.6,34 38.63,-123.36439,123,21.9,123 21.86,4164,ROS
81,73.3,90,73.3_90,34.31047,34,18.6,34 18.63,-124.06154,124,3.7,124 3.69,3186,ROS
82,73.3,100,73.3_100,33.97714,33,58.6,33 58.63,-124.7559,124,45.4,124 45.35, ,ROS
83,70,100,70_100,34.54872,34,32.9,34 32.92,-125.17964,125,10.8,125 10.78, ,ROS
84,70,90,70_90,34.88205,34,52.9,34 52.92,-124.48047,124,28.8,124 28.83,4336,ROS
85,70,80,70_80,35.21538,35,12.9,35 12.92,-123.77843,123,46.7,123 46.71,4078,ROS
86,70,70,70_70,35.54872,35,32.9,35 32.92,-123.07348,123,4.4,123 4.41,3845,ROS
87,70,60,70_60,35.88205,35,52.9,35 52.92,-122.36556,122,21.9,122 21.93,3071,ROS
88,70,55,70_55,36.04872,36,2.9,36 2.92,-122.01048,122,0.6,122 0.63,1304,ROS
89,70,51,70_51,36.18205,36,10.9,36 10.92,-121.72586,121,43.6,121 43.55,420,ROS
