"Line","Station","Cruise","Year","Effort","Latitude","Longitude"
80,90,"CC1202",2012,12,33.15,-123.22099
80,90,"CC0907",2009,4,33.15,-123.22099
80,90,"CC0801",2008,16,33.15,-123.22099
80,90,"CC1203",2012,8,33.15,-123.22099
80,90,"CC1008",2010,24,33.15,-123.22099
80,90,"CC0607",2006,7,33.15,-123.22099
80,90,"CC0707",2007,13,33.15,-123.22099
80,90,"CC0808",2008,16,33.15,-123.22099
80,90,"CC1104",2011,10,33.15,-123.22099
80,90,"CC1207",2012,6,33.15,-123.22099
80,90,"CC0711",2007,13,33.15,-123.22099
80,90,"CC0504",2005,20,33.15,-123.22099
80,90,"CC0411",2004,23,33.15,-123.22099
80,90,"CC1101",2011,34,33.15,-123.22099
83,100,"CC0810",2008,8,32.24509,-123.49232
83,100,"CC0604",2006,18,32.24509,-123.49232
83,100,"CC0903",2009,18,32.24509,-123.49232
83,100,"CC0501",2005,15,32.24509,-123.49232
83,100,"CC0507",2005,17,32.24509,-123.49232
83,100,"CC1104",2011,13,32.24509,-123.49232
83,100,"CC0911",2009,16,32.24509,-123.49232
83,100,"CC1108",2011,14,32.24509,-123.49232
83,100,"CC0611",2006,17,32.24509,-123.49232
83,100,"CC0711",2007,15,32.24509,-123.49232
83,100,"CC1210",2012,3,32.24509,-123.49232
83,100,"CC1202",2012,24,32.24509,-123.49232
83,100,"CC1001",2010,3,32.24509,-123.49232
83,100,"CC0602",2006,10,32.24509,-123.49232
83,100,"CC1110",2011,14,32.24509,-123.49232
83,110,"CC0504",2005,17,31.91176,-124.1704
83,110,"CC0501",2005,12,31.91176,-124.1704
83,110,"CC0810",2008,8,31.91176,-124.1704
83,110,"CC0803",2008,14,31.91176,-124.1704
83,110,"CC0507",2005,18,31.91176,-124.1704
83,110,"CC0801",2008,11,31.91176,-124.1704
83,110,"CC1110",2011,26,31.91176,-124.1704
83,110,"CC0711",2007,15,31.91176,-124.1704
83,110,"CC1207",2012,7,31.91176,-124.1704
83,110,"CC0407",2004,15,31.91176,-124.1704
83,110,"CC1104",2011,13,31.91176,-124.1704
83,110,"CC0707",2007,14,31.91176,-124.1704
83,42,"CC1207",2012,5,34.17842,-119.50851
83,42,"CC0407",2004,14,34.17842,-119.50851
83,42,"CC0810",2008,8,34.17842,-119.50851
83,42,"CC1210",2012,3,34.17842,-119.50851
83,42,"CC0611",2006,16,34.17842,-119.50851
83,42,"CC0501",2005,10,34.17842,-119.50851
83,42,"CC1110",2011,14,34.17842,-119.50851
83,42,"CC0504",2005,18,34.17842,-119.50851
83,42,"CC0711",2007,9,34.17842,-119.50851
83,42,"CC0511",2005,14,34.17842,-119.50851
83,42,"CC0507",2005,14,34.17842,-119.50851
83,51,"CC0707",2007,12,33.87842,-120.13258
83,51,"CC0801",2008,10,33.87842,-120.13258
83,51,"CC0803",2008,14,33.87842,-120.13258
83,51,"CC1207",2012,6,33.87842,-120.13258
83,51,"CC1008",2010,38,33.87842,-120.13258
83,51,"CC0907",2009,8,33.87842,-120.13258
83,51,"CC1202",2012,9,33.87842,-120.13258
83,51,"CC0808",2008,19,33.87842,-120.13258
83,51,"CC0911",2009,19,33.87842,-120.13258
83,51,"CC0607",2006,9,33.87842,-120.13258
83,55,"CC0901",2009,17,33.74509,-120.40923
83,55,"CC0707",2007,15,33.74509,-120.40923
83,55,"CC1008",2010,30,33.74509,-120.40923
83,55,"CC0911",2009,4,33.74509,-120.40923
83,55,"CC1001",2010,3,33.74509,-120.40923
83,55,"CC1202",2012,6,33.74509,-120.40923
83,55,"CC0411",2004,22,33.74509,-120.40923
83,55,"CC1101",2011,19,33.74509,-120.40923
83,55,"CC0801",2008,16,33.74509,-120.40923
83,55,"CC0611",2006,16,33.74509,-120.40923
83,55,"CC0803",2008,12,33.74509,-120.40923
83,55,"CC0604",2006,14,33.74509,-120.40923
83,55,"CC0607",2006,5,33.74509,-120.40923
83,60,"CC1001",2010,4,33.57842,-120.75443
83,60,"CC1210",2012,3,33.57842,-120.75443
83,60,"CC0903",2009,15,33.57842,-120.75443
83,60,"CC0411",2004,24,33.57842,-120.75443
83,60,"CC1108",2011,17,33.57842,-120.75443
83,60,"CC0507",2005,15,33.57842,-120.75443
83,60,"CC1110",2011,18,33.57842,-120.75443
83,60,"CC0511",2005,12,33.57842,-120.75443
83,60,"CC0611",2006,17,33.57842,-120.75443
83,60,"CC0604",2006,17,33.57842,-120.75443
83,60,"CC0404",2004,12,33.57842,-120.75443
83,60,"CC0501",2005,18,33.57842,-120.75443
83,60,"CC1008",2010,28,33.57842,-120.75443
83,60,"CC0808",2008,19,33.57842,-120.75443
83,60,"CC1104",2011,14,33.57842,-120.75443
83,60,"CC0911",2009,17,33.57842,-120.75443
83,60,"CC0602",2006,15,33.57842,-120.75443
83,70,"CC0511",2005,15,33.24509,-121.44283
83,70,"CC0810",2008,8,33.24509,-121.44283
83,70,"CC1203",2012,8,33.24509,-121.44283
83,70,"CC1110",2011,16,33.24509,-121.44283
83,70,"CC1104",2011,11,33.24509,-121.44283
83,70,"CC0907",2009,12,33.24509,-121.44283
83,70,"CC0704",2007,15,33.24509,-121.44283
83,70,"CC0501",2005,13,33.24509,-121.44283
83,70,"CC0407",2004,16,33.24509,-121.44283
83,70,"CC0903",2009,22,33.24509,-121.44283
83,70,"CC0602",2006,5,33.24509,-121.44283
83,70,"CC0711",2007,14,33.24509,-121.44283
83,70,"CC0504",2005,22,33.24509,-121.44283
83,70,"CC0507",2005,15,33.24509,-121.44283
83,70,"CC0404",2004,13,33.24509,-121.44283
83,70,"CC0801",2008,11,33.24509,-121.44283
83,80,"CC0808",2008,14,32.91176,-122.12858
83,80,"CC0704",2007,12,32.91176,-122.12858
83,80,"CC1207",2012,17,32.91176,-122.12858
83,80,"CC0411",2004,19,32.91176,-122.12858
83,80,"CC1210",2012,4,32.91176,-122.12858
83,80,"CC0901",2009,17,32.91176,-122.12858
83,80,"CC0907",2009,13,32.91176,-122.12858
83,80,"CC1008",2010,23,32.91176,-122.12858
83,80,"CC0407",2004,14,32.91176,-122.12858
83,80,"CC0607",2006,12,32.91176,-122.12858
83,80,"CC0801",2008,12,32.91176,-122.12858
83,80,"CC1101",2011,16,32.91176,-122.12858
83,90,"CC0911",2009,15,32.57842,-122.81173
83,90,"CC1001",2010,7,32.57842,-122.81173
83,90,"CC0604",2006,14,32.57842,-122.81173
83,90,"CC0411",2004,22,32.57842,-122.81173
83,90,"CC0611",2006,15,32.57842,-122.81173
83,90,"CC1202",2012,18,32.57842,-122.81173
83,90,"CC0901",2009,14,32.57842,-122.81173
83,90,"CC0404",2004,14,32.57842,-122.81173
83,90,"CC1104",2011,7,32.57842,-122.81173
83,90,"CC1011",2010,5,32.57842,-122.81173
83,90,"CC0903",2009,14,32.57842,-122.81173
83,90,"CC0607",2006,14,32.57842,-122.81173
83,90,"CC0808",2008,16,32.57842,-122.81173
83,90,"CC1108",2011,6,32.57842,-122.81173
83,90,"CC1008",2010,27,32.57842,-122.81173
90,100,"CC0604",2006,13,31.08462,-122.66202
90,100,"CC0501",2005,18,31.08462,-122.66202
90,100,"CC1011",2010,4,31.08462,-122.66202
90,100,"CC0407",2004,19,31.08462,-122.66202
90,100,"CC0607",2006,17,31.08462,-122.66202
90,100,"CC0808",2008,17,31.08462,-122.66202
