EID,X,Y,ev,when,spd,hdg,cruise,vessel,eff,trn,port,star,qual,vis,precip,cloud,glareL,glareR,glareS,wind.dir,wind.spd,bft,swell,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
15,-121.945415,31.4596233,EFF,11/8/2023 13:00,9,58,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,PC ,10,136,170,M ,344,27,6,9,2A,0,KW ,KW ,CC2311SR,SallRide            ,1 observer on observation of WEATHR WATCH 90-90-going to 90-80  ,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
16,-121.941245,31.4614416,SEA,11/8/2023 13:02,9,57,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,UX,6,CL ,10,136,170,SL,344,26,6,9,beaufort 6 off effort,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
17,-121.7958633,31.5196466,SIT,11/8/2023 13:57,10,65,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,CETA,11,KW ,3,58.78,72,3,0,0,0,0,0,362,345,400,0NA,DD  ,100,NA,0,2,5,7,NA,NA,0,0,NA,NA,0,0,NA,NA,NA, ,NA
18,-121.7874683,31.5230016,SIT,11/8/2023 14:01,9,67,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,CETA,12,KW ,3,67.68,80,0,70,0,0,0,0,4,4,5,0NA,SC  ,100,NA,0,7,2,5,NA,NA,0,0,NA,NA,0,0,NA,NA,NA, ,NA
19,-121.5938366,31.6139416,SIT,11/8/2023 15:18,10,66,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,CETA,13,KW ,2,66.1,44,0,78,0,0,0,0,20,15,35,0NA,DD  ,100,NA,0,2,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA, ,NA
20,-121.5923483,31.6146383,UPD,11/8/2023 15:19,9,69,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,CETA,12,KW ,3,67.68,80,0,70,0,0,0,0,4,4,5,0NA,SC  ,100,NA,0,7,2,5,NA,NA,0,0,NA,NA,0,0,NA,NA,NA, these stripers were mixed in with the commons,NA
21,-121.5918066,31.6148966,EFF,11/8/2023 15:19,10,66,CC2311SR,SallRide,2A,0,KW ,JE ,UX,6,CL ,10,136,170,SL,344,26,6,9,2A,0,KW ,JE ,CC2311SR,SallRide            ,2 observer on observation of WEATHR WATCH 90-90-going to 90-80  ,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
22,-121.3496966,31.7344916,COM,11/8/2023 16:57,9,61,CC2311SR,SallRide,2A,0,KW ,JE ,UX,6,CL ,10,136,170,SL,344,26,6,9,on 90-80.  1 bouy is deployed  ,NA,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
23,-121.3467583,31.7358483,EFF,11/8/2023 16:58,9,53,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,2A,0,KW ,KW ,CC2311SR,SallRide            ,on 90-80.  1 bouy is deployed  END DAY,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
24,-121.346545,31.735935,COM,11/8/2023 16:58,9,64,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,END DAY,NA,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
25,-121.3462116,31.73609,END,11/8/2023 16:59,9,64,CC2311SR,SallRide,2A,0,KW ,KW ,UX,6,CL ,10,136,170,SL,344,26,6,9,,NA,,,,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
EID,X,Y,ev,when,spd,hdg,cruise,vessel,eff,trn,port,star,qual,vis,precip,cloud,glareL,glareR,glareS,wind.dir,wind.spd,bft,swell,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
3,-119.9625766,32.4222883,EFF,11/9/2023 6:51,2,294,CC2311SR,SallRide,1,0,KW ,JE ,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,1,0,KW ,JE ,CC2311SR,SallRide            ,BEGIN DAY,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-119.9626616,32.42237,COM,11/9/2023 6:52,1,281,CC2311SR,SallRide,1,0,KW ,JE ,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,BEGIN DAY,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-119.9695066,32.4283333,COM,11/9/2023 7:11,1,310,CC2311SR,SallRide,1,0,KW ,JE ,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,BEGIN DAY  ON station 90-70  going to 90-60,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,-119.9695616,32.4283716,EFF,11/9/2023 7:11,1,281,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,1,0,KW ,JE ,CC2311SR,SallRide            ,BEGIN DAY  ON station 90-70 going to 90-60,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-119.967815,32.4396716,EFF,11/9/2023 7:33,9,66,CC2311SR,SallRide,0,0,KW ,JE ,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,0,0,KW ,JE ,CC2311SR,SallRide            ,BEGIN DAY  ON station 90-70 going to 90-60,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,-119.9650483,32.4408416,SEA,11/9/2023 7:34,10,63,CC2311SR,SallRide,0,0,KW ,JE ,F ,6,CL ,6,110,150,SE,18,14,NA,7,F ,6,CL ,6,110,150,SE,18,14,NA,7,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-119.740155,32.5400716,EFF,11/9/2023 8:51,10,62,CC2311SR,SallRide,0,0,KW ,JE ,F ,6,CL ,6,110,150,SE,18,14,NA,7,0,0,KW ,JE ,CC2311SR,SallRide            ,CORRECTION  WE WERE IN 90-60 AND NOW GOING TO 90-53,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,-119.7391966,32.5405116,SEA,11/9/2023 8:52,10,61,CC2311SR,SallRide,0,0,KW ,JE ,F ,6,CL ,6,110,150,SE,18,14,4,7,F ,6,CL ,6,110,150,SE,18,14,4,7,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-119.5394866,32.6275966,COM,11/9/2023 10:00,9,72,CC2311SR,SallRide,0,0,KW ,JE ,F ,6,CL ,6,125,160,SE,18,14,4,7,CORRECTION  WE WERE IN 90-60 AND NOW GOING TO 90-53,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-119.5389383,32.6277983,COM,11/9/2023 10:00,10,64,CC2311SR,SallRide,0,0,KW ,JE ,F ,6,CL ,6,140,170,SE,18,14,4,7,CORRECTION  WE WERE ON 90-60 NOW ON 90-53.  1 OBSERVER   1 bouy deployed,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-119.5350316,32.6292866,SEA,11/9/2023 10:02,10,64,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SE,18,12,3,7,G ,6,CL ,6,140,170,SE,18,12,3,7,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-119.53431,32.6295966,EFF,11/9/2023 10:02,10,64,NA,NA,NA,NA,NA,NA,G ,6,CL ,6,140,170,SE,18,12,3,7,6,0,KW ,KW ,CC2311SR,SallRide            ,CORRECTION  WE WERE ON 90-60 NOW ON 90-53.  1 OBSERVER   1 bouy deployed,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-119.4837966,32.6504483,EFF,11/9/2023 10:20,4,52,NA,NA,NA,NA,NA,NA,G ,6,CL ,6,140,170,SE,18,12,3,7,1,0,KW ,KW ,CC2311SR,SallRide            , ON 90-53. going to 90-45,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,-119.45629,32.6793016,EFF,11/9/2023 12:29,10,67,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SE,18,12,3,7,0,0,KW ,JE ,CC2311SR,SallRide            , ON 90-53. going to 90-45,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,-119.4556316,32.6795166,SEA,11/9/2023 12:29,11,68,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,G ,6,CL ,6,140,170,SL,18,12,3,7,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-119.403235,32.6985483,SIT,11/9/2023 12:46,11,68,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,CETA,14,JE ,1,68.85,83,2.5,0,0,0,0,0,1,1,1,0NA,ULW ,100,NA,0,1,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
19,-119.26147,32.75762,SIT,11/9/2023 13:33,10,64,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,CETA,15,JE ,1,62.37,70,0.5,0,0,0,0,0,1,1,1,0NA,ULW ,100,NA,0,1,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
20,-119.2474183,32.76445,SIT,11/9/2023 13:38,11,57,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,CETA,16,KW ,1,58.95,41,1.2,0,0,0,0,0,2,2,2,0NA,BP  ,100,NA,0,1,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
21,-119.1758916,32.7993766,EFF,11/9/2023 14:02,10,59,NA,NA,NA,NA,NA,NA,G ,6,CL ,6,140,170,SL,18,12,3,7,6,0,KW ,JE ,CC2311SR,SallRide            , ON 90-53. going to 90-45,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-119.1575083,32.8084733,EFF,11/9/2023 14:09,10,59,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,0,0,KW ,JE ,CC2311SR,SallRide            , ON 90-53. going to 90-45,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-119.011415,32.880625,SIT,11/9/2023 15:00,10,60,CC2311SR,SallRide,0,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,CETA,17,KW ,3,60.26,14,1,0,0,0,0,0,32,30,65,0NA,DSP ,100,NA,0,7,2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
24,-118.9701433,32.900885,EFF,11/9/2023 15:14,10,61,CC2311SR,SallRide,6,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,6,0,KW ,JE ,CC2311SR,SallRide            , ON 90-53. going to 90-45,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-118.935625,32.9166533,COM,11/9/2023 15:26,7,48,CC2311SR,SallRide,6,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7, ON 90-45  1 bouy deployed,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-118.9350533,32.9172216,EFF,11/9/2023 15:27,4,32,CC2311SR,SallRide,1,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,1,0,KW ,JE ,CC2311SR,SallRide            , ON 90-45  1 bouy deployed  END DAY,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-118.9349733,32.9174283,COM,11/9/2023 15:27,3,12,CC2311SR,SallRide,1,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,end day,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-118.9349816,32.9176183,END,11/9/2023 15:27,2,9,CC2311SR,SallRide,1,0,KW ,JE ,G ,6,CL ,6,140,170,SL,18,12,3,7,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EID,X,Y,ev,when,spd,hdg,cruise,vessel,eff,trn,port,star,qual,vis,precip,cloud,glareL,glareR,glareS,wind.dir,wind.spd,bft,swell,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
3,-117.8188066,33.45969,COM,11/10/2023 6:24,10,62,,,EF,NA,   ,   ,NA,NA,NA, NA, NA, NA,NA,NA,NA,NA,NA,BEGIN DAY  line 90-going to 27.7 sccoos,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-117.8160716,33.4610066,SEA,11/10/2023 6:25,10,60,,,EF,NA,   ,   ,G ,5,CL ,14,0,0,N ,324,8,2,2,G ,5,CL ,14,0,0,N ,324,8,2,2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-117.8012,33.4685366,SIT,11/10/2023 6:30,10,58,,,EF,NA,   ,   ,G ,5,CL ,14,0,0,N ,324,8,2,2,CETA,18,JE ,2,62.07,102,0,500,0,0,0,0,47,32,65,6,DC  ,100,NA,0,1,4,5,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
6,-117.747025,33.49481,COM,11/10/2023 6:52,1,60,,,EF,NA,   ,   ,G ,5,CL ,14,0,0,N ,324,8,2,2, on 90- 27.7 sccoos,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-117.776445,33.4867266,EFF,11/10/2023 8:54,10,283,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,14,0,0,N ,324,8,2,2,6,1,KW ,JE ,CC2311SR,SallRide            ,line on 90- 27.7 sccoos,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,-117.7951916,33.4908783,COM,11/10/2023 9:01,9,285,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,14,0,0,N ,324,8,2,2,line on 90- 27.7 sccoos  going to 91.7-26.4 sccoos.coastal TRN,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-117.9865716,33.6020883,SIT,11/10/2023 10:12,10,307,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,14,0,0,N ,324,8,2,2,PINN,1,KW ,3,304.97,264,4.2,0,0,0,0,0,1,1,1,0NA,Pv  ,100,NA,0,1,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
10,-117.987445,33.6026366,SEA,11/10/2023 10:12,10,308,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,14,0,0,N ,324,8,2,2,G ,5,CL ,14,0,0,N ,324,8,2,2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-118.0232016,33.6274266,SIT,11/10/2023 10:26,10,307,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,19,0,0,N ,324,8,2,2,CETA,20,KW ,2,309.02,278,2,0,0,0,0,0,178,160,200,0NA,DC  ,100,NA,0,2,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
12,-118.03625,33.6361266,UPD,11/10/2023 10:31,10,309,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,25,0,0,N ,324,8,2,2,CETA,20,KW ,2,309.02,278,2,0,0,0,0,0,211,190,236,8,DC  ,100,NA,0,2,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,-118.0927616,33.674285,COM,11/10/2023 10:55,3,290,CC2311SR,SallRide,6,1,KW ,JE ,G ,5,CL ,30,0,0,N ,324,8,2,2,on 91.7-26.4 sccoos coastal TRN,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-118.11126,33.6724383,EFF,11/10/2023 11:19,10,266,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,CL ,35,0,0,N ,324,8,2,2,0,1,KW ,JE ,CC2311SR,SallRide            ,on 91.7-26.4 going to 86.8-32.5,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-118.2858316,33.6538083,SIT,11/10/2023 12:14,10,299,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,CL ,41,0,0,N ,324,8,2,2,CETA,21,KW ,3,299.01,280,2,0,0,0,0,0,16,14,22,0NA,TT  ,100,NA,0,1,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
16,-118.42106,33.7204316,SIT,11/10/2023 13:01,10,300,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,CL ,46,0,0,N ,324,8,2,2,CETA,22,KW ,2,301.7,328,1.5,0,0,0,0,0,132,111,154,8,DC  ,100,NA,0,1,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
17,-118.4226816,33.7212116,SEA,11/10/2023 13:02,10,301,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,G ,5,PC ,46,0,0,N ,324,6,2,2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-118.4511316,33.7427883,SIT,11/10/2023 13:14,10,360,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,23,KW ,3,300.92,270,0.8,0,0,0,0,0,1,1,1,0NA,MN  ,100,NA,0,34,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
19,-118.4510833,33.8276,SIT,11/10/2023 13:44,10,3,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,24,KW ,2,4.84,344,2,0,0,0,0,0,412,380,435,0NA,DC  ,100,NA,0,1,4,7,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
20,-118.4508683,33.8305616,SIT,11/10/2023 13:45,10,2,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,PINN,2,KW ,3,3.85,288,2,0,0,0,0,0,15,0,0,0NA,Zac ,100,NA,0,4,2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
21,-118.44672,33.8628233,SIT,11/10/2023 13:57,9,7,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,25,KW ,2,7.4,234,0.6,0,0,0,0,0,18,15,22,0NA,UD  ,100,NA,0,2,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
22,-118.4418283,33.8897316,SIT,11/10/2023 14:09,2,333,CC2311SR,SallRide,0,1,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,26,KW ,2,14.86,255,3,0,0,0,0,0,28,25,36,0NA,DSP ,100,NA,0,2,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
23,-118.442155,33.890045,EFF,11/10/2023 14:10,2,311,NA,NA,NA,NA,NA,NA,G ,5,PC ,46,0,0,N ,324,6,2,2,1,1,KW ,JE ,CC2311SR,SallRide            ,on 91.7-26.4 going to 86.8-32.5,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-118.4500616,33.8912366,EFF,11/10/2023 14:35,7,267,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,0,0,KW ,JE ,CC2311SR,SallRide            ,going to 87.33,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-118.4870783,33.8896066,SIT,11/10/2023 14:48,7,267,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,27,JE ,3,267.97,238,3,0,0,0,0,0,8,6,16,0NA,DC  ,100,NA,0,5,1,2,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
26,-118.4900583,33.88931,COM,11/10/2023 14:50,2,253,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,on 87.33,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-118.50905,33.880315,EFF,11/10/2023 15:44,9,237,CC2311SR,SallRide,6,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,6,0,KW ,JE ,CC2311SR,SallRide            ,on 87.33 going to 87-35  no bouys deployed,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-118.5125416,33.87853,COM,11/10/2023 15:45,9,240,CC2311SR,SallRide,6,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,on 87.33 going to 87-35  no bouys deployed,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-118.5129683,33.8783333,EFF,11/10/2023 15:45,10,241,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,0,0,KW ,JE ,CC2311SR,SallRide            ,on 87.33 going to 87-35  no bouys deployed,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-118.5886866,33.8427216,SIT,11/10/2023 16:12,9,242,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,28,JE ,2,241.05,236,1,0,0,0,0,0,16,15,22,3,TT  ,100,NA,0,2,7,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
31,-118.62944,33.8237633,SIT,11/10/2023 16:31,0,64,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,CETA,29,JE ,2,240.05,233,0.2,0,0.2,14,100,260,890,750,1100,0NA,DC  ,100,NA,0,1,2,7,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
32,-118.629465,33.823775,COM,11/10/2023 16:32,1,64,CC2311SR,SallRide,0,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,on 87-35 1 bouys deployed  END DAY,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-118.629475,33.8237716,EFF,11/10/2023 16:32,0,64,CC2311SR,SallRide,1,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,1,0,KW ,JE ,CC2311SR,SallRide            ,on 87-35 1 bouys deployed  END DAYT,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-118.6294833,33.823775,END,11/10/2023 16:32,0,64,CC2311SR,SallRide,1,0,KW ,JE ,G ,5,PC ,46,0,0,N ,324,6,2,2,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EID,X,Y,ev,when,spd,hdg,cruise,vessel,eff,trn,port,star,qual,vis,precip,cloud,glareL,glareR,glareS,wind.dir,wind.spd,bft,swell,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
