"station","Year","Season","cruise","line","SB#","D/O?","Date","Hour","Quality","Sarah's scale (amt of background)","Types of Background","Detections?","Blue B","Blue D","Fin 20Hz Singular","Fin 20Hz Song","Fin C.C.","Fin H.C.","Humpback Song","Humpback Non-song","Start/End","Hour spans","Comments","Scan Method","Time window","Top freq","Low Freq","FFT Length","Overlap","SpeciesName","longitude","latitude","depth"
28,2008,"Summer","CC0808","90.0","SB13","OMNI",2008-08-20,1899-12-31 21:00:00,"Medium","lots to tons","1,2,3,A,B","Yes",1,0,0,1,0,1,0,0,NA,6,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
28,2006,"Summer","CC06","90.0","SB17","DIFAR",2006-07-15,1899-12-31 03:00:00,"Medium","bit to lots","1,2,3,B","adhoc only",0,0,0,0,0,0,0,0,"ends 3:19:00",2,"adhoc Humpback song","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2008,"Summer","CC0808","90.0","SB13","OMNI",2008-08-20,1899-12-31 21:00:00,"Medium","lots to tons","1,2,3,A,B","Yes",1,0,0,1,0,1,0,0,NA,6,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2005,"Summer","CC0507","90.0","SB14","OMNI",2005-07-07,1899-12-31 21:00:00,"Medium**","lots**","1,2,A,B","Yes",0,0,0,0,0,0,1,0,"ends 21:07:30",1,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Humpback Whale",-118.24971,33.25128,344
28,2006,"Summer","CC06","90.0","SB17","DIFAR",2006-07-15,1899-12-31 02:00:00,"Medium","lots","1,2,3,B","Yes",1,0,0,0,0,1,0,0,NA,6,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
28,2008,"Summer","CC0808","90.0","SB13","OMNI",2008-08-20,1899-12-31 22:00:00,"Medium","lots to tons","1,2,3,A,B","Yes",1,1,0,1,0,1,0,1,"ends 22:24:00",3,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
28,2005,"Summer","CC0507","90.0","SB14","OMNI",2005-07-07,1899-12-31 20:00:00,"Medium**","bit to lots**","1,2,3,A,B","Yes",0,1,0,0,0,0,0,0,NA,7,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2009,"Winter","CC0901","90.0","SB11","OMNI",2009-01-13,1899-12-31 23:00:00,"Poor","tons","1,2,3,A,B","No",0,0,0,0,0,0,0,0,NA,6,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2004,"Fall","CC041","90.0","SB15","OMNI",2004-11-09,1899-12-31 17:00:00,"High**","bit**","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,"starts 17:40:00",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2005,"Winter","CC0501","93.0","SB01","OMNI",2005-01-05,1899-12-31 01:00:00,"Medium**","lots**","1,2,3,A,B","Yes",0,0,0,1,0,0,0,0,"ends 1:47:55",5,"looks broken; static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
28,2006,"Summer","CC06","93.0","SB02","OMNI",2006-07-09,1899-12-31 01:00:00,"High","bit to lots","1,2,3,A","Yes",0,1,0,0,0,0,0,0,"starts 1:51:07",1,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2005,"Summer","CC0507","93.0","SB01","OMNI",2005-07-02,1899-12-31 04:00:00,"High","bit to lots","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"ends 4:06:57",1,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2004,"Fall","CC041","90.0","SB15","OMNI",2004-11-09,1899-12-31 18:00:00,"High**","bit to lots**","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2004,"Spring","CC0404","93.0","SB02","OMNI",2004-03-23,1899-12-31 22:00:00,"Poor","tons","1,2,A,B","No",0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file; just static","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2005,"Summer","CC0507","93.0","SB01","OMNI",2005-07-02,1899-12-31 03:00:00,"High**","bit to lots**","1,2,3,A,B","No",0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2004,"Summer","CC0407D","90.0","SB15","OMNI",2004-07-19,1899-12-31 03:00:00,"Poor","lots to tons","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"ends 3:58:02",6,"lots of interference; static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2009,"Winter","CC0901","90.0","SB11","OMNI",2009-01-14,1899-12-31,"Poor","tons","1,2,3,A,B","Yes",0,0,0,1,0,0,0,0,NA,6,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
28,2004,"Spring","CC0404","93.0","SB02","OMNI",2004-03-24,1899-12-31,"Poor","tons","1,2,A,B","No",0,0,0,0,0,0,0,0,"ends 0:27:00",3,"static takes over 5min 11sec into each 10min file; just static","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2004,"Spring","CC0404","93.0","SB02","OMNI",2004-03-23,1899-12-31 21:00:00,"Poor","tons","1,2,A,B","No",0,0,0,0,0,0,0,0,"starts 21:32:23",3,"static takes over 5min 11sec into each 10min file; just static","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2005,"Winter","CC0501","93.0","SB01","OMNI",2005-01-05,1899-12-31,"High**","bit to lots**","1,2,3,A,B","Yes",0,1,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2006,"Summer","CC06","90.0","SB17","DIFAR",2006-07-15,1899-12-31,"High","bit","1,2,B","No",0,0,0,0,0,0,0,0,"starts 0:30:00",3,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2008,"Summer","CC0808","90.0","SB13","OMNI",2008-08-20,1899-12-31 19:00:00,"Poor","tons","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,"starts 19:30:00",3,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2006,"Summer","CC06","90.0","SB17","DIFAR",2006-07-15,1899-12-31 02:00:00,"Medium","lots","1,2,3,B","Yes",1,0,0,0,0,1,0,0,NA,6,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2009,"Winter","CC0901","90.0","SB11","OMNI",2009-01-13,1899-12-31 22:00:00,"Poor","tons","1,2,3,A,B","Yes",0,0,0,1,0,0,0,0,"starts 22:30:00",3,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
