"Line","Station","Cruise","Year","Effort","Latitude","Longitude"
90,110,"CC0604",2006,19,30.75128,-123.33164
90,110,"CC1001",2010,7,30.75128,-123.33164
90,110,"CC0907",2009,13,30.75128,-123.33164
90,110,"CC0901",2009,4,30.75128,-123.33164
90,110,"CC0411",2004,21,30.75128,-123.33164
90,110,"CC1210",2012,4,30.75128,-123.33164
90,110,"CC1008",2010,26,30.75128,-123.33164
90,110,"CC0801",2008,20,30.75128,-123.33164
90,110,"CC1207",2012,6,30.75128,-123.33164
90,110,"CC1110",2011,13,30.75128,-123.33164
90,110,"CC1202",2012,23,30.75128,-123.33164
90,110,"CC0602",2006,9,30.75128,-123.33164
90,120,"CC1108",2011,12,30.41795,-123.99893
90,120,"CC0810",2008,20,30.41795,-123.99893
90,120,"CC1001",2010,7,30.41795,-123.99893
90,120,"CC0504",2005,21,30.41795,-123.99893
90,120,"CC0803",2008,16,30.41795,-123.99893
90,120,"CC0602",2006,14,30.41795,-123.99893
90,120,"CC0711",2007,18,30.41795,-123.99893
90,120,"CC0707",2007,12,30.41795,-123.99893
90,120,"CC1207",2012,6,30.41795,-123.99893
90,120,"CC0411",2004,31,30.41795,-123.99893
90,120,"CC0701",2007,18,30.41795,-123.99893
90,120,"CC0507",2005,9,30.41795,-123.99893
90,28,"CC0808",2008,18,33.48462,-117.76808
90,28,"CC0607",2006,17,33.48462,-117.76808
90,28,"CC0901",2009,20,33.48462,-117.76808
90,28,"CC0411",2004,18,33.48462,-117.76808
90,28,"CC0407",2004,21,33.48462,-117.76808
90,28,"CC0507",2005,23,33.48462,-117.76808
90,30,"CC0411",2004,15,33.41795,-117.90582
90,30,"CC0511",2005,6,33.41795,-117.90582
90,30,"CC0607",2006,14,33.41795,-117.90582
90,30,"CC0404",2004,18,33.41795,-117.90582
90,30,"CC0810",2008,18,33.41795,-117.90582
90,30,"CC0711",2007,19,33.41795,-117.90582
90,30,"CC0907",2009,5,33.41795,-117.90582
90,30,"CC0501",2005,15,33.41795,-117.90582
90,30,"CC1001",2010,7,33.41795,-117.90582
90,30,"CC0704",2007,9,33.41795,-117.90582
90,30,"CC0707",2007,6,33.41795,-117.90582
90,30,"CC0504",2005,18,33.41795,-117.90582
90,30,"CC0507",2005,15,33.41795,-117.90582
90,30,"CC1008",2010,28,33.41795,-117.90582
90,30,"CC0808",2008,13,33.41795,-117.90582
90,30,"CC1207",2012,42,33.41795,-117.90582
90,30,"CC1210",2012,6,33.41795,-117.90582
90,30,"CC0801",2008,8,33.41795,-117.90582
90,30,"CC1101",2011,17,33.41795,-117.90582
90,35,"CC0707",2007,14,33.25128,-118.24971
90,35,"CC0907",2009,12,33.25128,-118.24971
90,35,"CC1108",2011,18,33.25128,-118.24971
90,35,"CC0701",2007,12,33.25128,-118.24971
90,35,"CC0607",2006,15,33.25128,-118.24971
90,35,"CC0511",2005,6,33.25128,-118.24971
90,35,"CC0803",2008,17,33.25128,-118.24971
90,35,"CC0504",2005,15,33.25128,-118.24971
90,35,"CC0704",2007,14,33.25128,-118.24971
90,35,"CC0911",2009,14,33.25128,-118.24971
90,35,"CC1210",2012,3,33.25128,-118.24971
90,35,"CC0407",2004,13,33.25128,-118.24971
90,35,"CC1008",2010,20,33.25128,-118.24971
90,37,"CC1202",2012,14,33.18462,-118.38708
90,37,"CC1104",2011,12,33.18462,-118.38708
90,37,"CC0704",2007,18,33.18462,-118.38708
90,37,"CC0901",2009,19,33.18462,-118.38708
90,37,"CC0604",2006,14,33.18462,-118.38708
90,37,"CC0602",2006,13,33.18462,-118.38708
90,37,"CC0801",2008,16,33.18462,-118.38708
90,37,"CC0411",2004,20,33.18462,-118.38708
90,37,"CC0911",2009,18,33.18462,-118.38708
90,37,"CC0407",2004,10,33.18462,-118.38708
90,37,"CC0907",2009,8,33.18462,-118.38708
90,37,"CC1110",2011,27,33.18462,-118.38708
90,37,"CC1011",2010,6,33.18462,-118.38708
90,37,"CC0903",2009,15,33.18462,-118.38708
90,37,"CC0511",2005,14,33.18462,-118.38708
90,37,"CC1008",2010,42,33.18462,-118.38708
90,45,"CC1104",2011,9,32.91795,-118.93551
90,45,"CC0907",2009,6,32.91795,-118.93551
90,45,"CC1203",2012,7,32.91795,-118.93551
90,45,"CC0411",2004,16,32.91795,-118.93551
90,45,"CC1001",2010,7,32.91795,-118.93551
90,45,"CC0604",2006,19,32.91795,-118.93551
90,45,"CC0602",2006,11,32.91795,-118.93551
90,45,"CC0507",2005,18,32.91795,-118.93551
90,45,"CC0903",2009,21,32.91795,-118.93551
90,45,"CC0801",2008,19,32.91795,-118.93551
90,45,"CC0711",2007,11,32.91795,-118.93551
90,45,"CC1207",2012,4,32.91795,-118.93551
90,53,"CC0707",2007,15,32.65128,-119.48228
90,53,"CC1101",2011,35,32.65128,-119.48228
90,53,"CC0411",2004,12,32.65128,-119.48228
90,53,"CC0507",2005,16,32.65128,-119.48228
90,53,"CC0701",2007,13,32.65128,-119.48228
90,53,"CC0711",2007,16,32.65128,-119.48228
90,53,"CC0501",2005,18,32.65128,-119.48228
90,53,"CC1203",2012,11,32.65128,-119.48228
90,53,"CC0607",2006,16,32.65128,-119.48228
90,53,"CC0504",2005,20,32.65128,-119.48228
90,53,"CC1210",2012,5,32.65128,-119.48228
90,53,"CC0803",2008,7,32.65128,-119.48228
90,53,"CC1001",2010,7,32.65128,-119.48228
90,53,"CC0611",2006,19,32.65128,-119.48228
90,53,"CC0404",2004,21,32.65128,-119.48228
90,53,"CC1207",2012,3,32.65128,-119.48228
90,60,"CC0907",2009,16,32.41795,-119.95935
90,60,"CC0501",2005,8,32.41795,-119.95935
90,60,"CC0901",2009,16,32.41795,-119.95935
90,60,"CC0407",2004,16,32.41795,-119.95935
90,60,"CC1108",2011,19,32.41795,-119.95935
90,60,"CC1008",2010,10,32.41795,-119.95935
90,60,"CC0607",2006,18,32.41795,-119.95935
90,60,"CC0911",2009,20,32.41795,-119.95935
90,60,"CC0701",2007,15,32.41795,-119.95935
90,60,"CC0810",2008,16,32.41795,-119.95935
90,60,"CC1104",2011,10,32.41795,-119.95935
90,60,"CC0808",2008,7,32.41795,-119.95935
90,60,"CC1101",2011,15,32.41795,-119.95935
90,60,"CC0504",2005,22,32.41795,-119.95935
90,60,"CC0704",2007,16,32.41795,-119.95935
90,60,"CC0707",2007,17,32.41795,-119.95935
90,60,"CC0803",2008,17,32.41795,-119.95935
90,60,"CC0511",2005,9,32.41795,-119.95935
90,70,"CC0602",2006,9,32.08462,-120.63872
90,70,"CC0901",2009,17,32.08462,-120.63872
90,70,"CC0704",2007,17,32.08462,-120.63872
90,70,"CC0511",2005,11,32.08462,-120.63872
90,70,"CC0801",2008,17,32.08462,-120.63872
90,70,"CC1011",2010,7,32.08462,-120.63872
90,70,"CC0604",2006,16,32.08462,-120.63872
90,70,"CC0911",2009,19,32.08462,-120.63872
90,70,"CC1104",2011,10,32.08462,-120.63872
90,70,"CC1108",2011,20,32.08462,-120.63872
90,70,"CC0903",2009,16,32.08462,-120.63872
90,70,"CC0407",2004,16,32.08462,-120.63872
90,70,"CC1210",2012,3,32.08462,-120.63872
90,70,"CC0808",2008,10,32.08462,-120.63872
90,70,"CC1202",2012,11,32.08462,-120.63872
90,70,"CC1008",2010,50,32.08462,-120.63872
90,70,"CC1110",2011,21,32.08462,-120.63872
90,80,"CC0711",2007,18,31.75128,-121.31559
90,80,"CC1203",2012,9,31.75128,-121.31559
90,80,"CC0507",2005,16,31.75128,-121.31559
90,80,"CC1110",2011,17,31.75128,-121.31559
90,80,"CC0602",2006,12,31.75128,-121.31559
90,80,"CC1001",2010,3,31.75128,-121.31559
90,80,"CC0404",2004,11,31.75128,-121.31559
90,80,"CC0611",2006,13,31.75128,-121.31559
90,80,"CC1207",2012,6,31.75128,-121.31559
90,90,"CC0611",2006,19,31.41795,-121.99001
90,90,"CC0411",2004,33,31.41795,-121.99001
90,90,"CC0501",2005,15,31.41795,-121.99001
90,90,"CC0404",2004,20,31.41795,-121.99001
90,90,"CC0707",2007,16,31.41795,-121.99001
90,90,"CC1203",2012,9,31.41795,-121.99001
90,90,"CC0507",2005,17,31.41795,-121.99001
90,90,"CC0607",2006,12,31.41795,-121.99001
90,90,"CC0407",2004,13,31.41795,-121.99001
90,90,"CC1108",2011,8,31.41795,-121.99001
90,90,"CC1104",2011,8,31.41795,-121.99001
90,90,"CC0504",2005,23,31.41795,-121.99001
90,90,"CC1101",2011,16,31.41795,-121.99001
90,90,"CC0704",2007,14,31.41795,-121.99001
90,90,"CC0803",2008,18,31.41795,-121.99001
90,90,"CC1207",2012,9,31.41795,-121.99001
90,90,"CC1001",2010,5,31.41795,-121.99001
