"line","station","Year","Season","Species Name","Duration (Hours)"
83,55,2011,"Winter","Humpback whale",8
83,60,2004,"Fall","Blue whale",24
83,60,2004,"Fall","Fin whale",24
83,60,2004,"Spring","Humpback whale",6
83,60,2005,"Fall","Blue whale",6
83,60,2005,"Fall","Fin whale",5
83,60,2005,"Summer","Humpback whale",15
83,60,2005,"Winter","Blue whale",18
83,60,2005,"Winter","Fin whale",6
83,60,2005,"Winter","Humpback whale",18
83,60,2006,"Fall","Fin whale",17
83,60,2006,"Winter","Humpback whale",4
83,60,2008,"Summer","Blue whale",19
83,60,2008,"Summer","Fin whale",19
83,60,2009,"Fall","Fin whale",6
83,60,2009,"Fall","Humpback whale",6
83,60,2009,"Spring","Humpback whale",6
83,60,2010,"Summer","Blue whale",8
83,60,2010,"Summer","Fin whale",11
83,60,2010,"Summer","Humpback whale",8
83,60,2010,"Winter","Fin whale",3
83,60,2010,"Winter","Humpback whale",4
83,60,2011,"Fall","Blue whale",10
83,60,2011,"Fall","Fin whale",18
83,60,2011,"Spring","Humpback whale",11
83,60,2012,"Fall","Blue whale",2
83,60,2012,"Fall","Fin whale",3
83,70,2005,"Fall","Blue whale",5
83,70,2005,"Fall","Fin whale",15
83,70,2005,"Spring","Blue whale",5
83,70,2005,"Summer","Blue whale",9
83,70,2005,"Summer","Fin whale",3
83,70,2005,"Winter","Humpback whale",12
83,70,2007,"Fall","Blue whale",4
83,70,2007,"Fall","Fin whale",14
83,70,2007,"Spring","Humpback whale",14
83,70,2008,"Fall","Fin whale",7
83,70,2008,"Winter","Humpback whale",6
83,70,2009,"Spring","Humpback whale",6
83,70,2009,"Summer","Humpback whale",6
83,70,2011,"Fall","Blue whale",4
83,70,2011,"Fall","Fin whale",12
83,70,2011,"Spring","Fin whale",4
83,70,2011,"Spring","Humpback whale",10
83,70,2012,"Spring","Fin whale",4
83,70,2012,"Spring","Humpback whale",7
83,80,2004,"Summer","Blue whale",13
83,80,2007,"Spring","Humpback whale",6
83,80,2008,"Summer","Blue whale",14
83,80,2008,"Winter","Fin whale",12
83,80,2008,"Winter","Humpback whale",12
83,80,2009,"Winter","Fin whale",4
83,80,2009,"Winter","Humpback whale",16
83,80,2011,"Winter","Humpback whale",16
83,80,2012,"Fall","Humpback whale",2
83,90,2004,"Fall","Fin whale",6
83,90,2004,"Spring","Humpback whale",13
83,90,2006,"Spring","Humpback whale",13
83,90,2006,"Summer","Blue whale",6
83,90,2008,"Summer","Blue whale",16
83,90,2008,"Summer","Fin whale",4
83,90,2009,"Winter","Fin whale",6
83,90,2009,"Winter","Humpback whale",12
83,90,2010,"Summer","Fin whale",8
83,90,2010,"Winter","Fin whale",5
83,90,2010,"Winter","Humpback whale",5
83,90,2011,"Spring","Humpback whale",6
83,90,2012,"Winter","Humpback whale",13
83,100,2005,"Winter","Humpback whale",15
83,100,2006,"Winter","Humpback whale",6
83,100,2007,"Fall","Blue whale",15
83,100,2009,"Spring","Humpback whale",14
83,100,2010,"Winter","Fin whale",1
83,100,2010,"Winter","Humpback whale",3
83,100,2011,"Spring","Humpback whale",11
83,100,2012,"Winter","Humpback whale",13
83,110,2005,"Summer","Blue whale",6
83,110,2005,"Winter","Blue whale",11
83,110,2005,"Winter","Humpback whale",12
83,110,2007,"Summer","Blue whale",6
83,110,2008,"Spring","Humpback whale",13
83,110,2008,"Winter","Humpback whale",3
83,110,2011,"Fall","Fin whale",13
83,110,2011,"Fall","Humpback whale",4
83,110,2011,"Spring","Humpback whale",12
83,110,2012,"Summer","Blue whale",1
86,70,2010,"Fall","Blue whale",3
86,70,2010,"Fall","Fin whale",5
86,70,2010,"Fall","Humpback whale",1
90,28,2004,"Fall","Blue whale",18
90,28,2005,"Summer","Blue whale",7
90,28,2005,"Summer","Humpback whale",1
90,28,2006,"Summer","Blue whale",6
90,28,2006,"Summer","Fin whale",6
90,28,2008,"Summer","Blue whale",18
90,28,2008,"Summer","Fin whale",15
90,28,2008,"Summer","Humpback whale",3
90,28,2009,"Winter","Fin whale",9
90,30,2004,"Fall","Blue whale",15
90,30,2005,"Spring","Blue whale",5
90,30,2005,"Summer","Blue whale",5
90,30,2005,"Winter","Blue whale",8
90,30,2005,"Winter","Fin whale",14
90,30,2006,"Summer","Blue whale",6
90,30,2007,"Fall","Blue whale",19
90,30,2007,"Fall","Fin whale",19
90,30,2007,"Spring","Fin whale",9
90,30,2007,"Summer","Blue whale",5
90,30,2008,"Fall","Blue whale",9
90,30,2008,"Fall","Fin whale",9
90,30,2008,"Summer","Blue whale",13
90,30,2008,"Summer","Fin whale",8
90,30,2008,"Winter","Fin whale",8
90,30,2010,"Winter","Fin whale",6
90,30,2012,"Fall","Blue whale",1
90,30,2012,"Fall","Fin whale",5
90,30,2012,"Summer","Blue whale",2
90,30,2012,"Summer","Humpback whale",2
90,35,2005,"Fall","Fin whale",6
90,35,2005,"Spring","Blue whale",6
90,35,2005,"Spring","Humpback whale",6
90,35,2006,"Summer","Blue whale",12
90,35,2006,"Summer","Fin whale",6
90,35,2006,"Summer","Humpback whale",7
90,35,2007,"Spring","Fin whale",14
90,35,2007,"Summer","Fin whale",4
90,35,2008,"Spring","Blue whale",6
90,35,2008,"Spring","Fin whale",6
90,35,2008,"Spring","Humpback whale",5
90,35,2010,"Summer","Blue whale",7
90,35,2010,"Summer","Fin whale",19
90,35,2010,"Summer","Humpback whale",15
90,35,2012,"Fall","Fin whale",1
90,37,2004,"Fall","Fin whale",20
90,37,2006,"Spring","Fin whale",14
90,37,2006,"Winter","Blue whale",5
90,37,2007,"Spring","Fin whale",18
90,37,2007,"Spring","Humpback whale",6
90,37,2008,"Winter","Fin whale",11
90,37,2009,"Spring","Fin whale",13
90,37,2009,"Spring","Humpback whale",5
90,37,2009,"Winter","Fin whale",19
90,37,2010,"Fall","Fin whale",4
90,37,2010,"Summer","Blue whale",7
90,37,2010,"Summer","Fin whale",18
